Location_ID,Latitude,Longitude,Depot_Flag,Demand_unit,Product_Type,Temp_Min,Temp_Max,Ripeness_Date,Expiration_Date,Packaging_Type,Contamination_Group,Handling_Notes,Urgency_Score,Time_Window_Start,Time_Window_End
L001,44.353851,-89.203137,TRUE,25,Herbs,5,10,06/06/2025,06/13/2025,Box,A,Keep Upright,0.78,12:00,17:00
L002,44.064555,-82.148292,FALSE,12,Herbs,5,10,06/08/2025,06/14/2025,Pallet,B,Keep Upright,0.53,12:00,17:00
L003,41.852455,-91.44019,FALSE,22,Leafy,1,7,06/07/2025,06/14/2025,Box,C,None,0.75,17:00,20:00
L004,47.098239,-94.52259,FALSE,8,Leafy,1,7,06/07/2025,06/10/2025,Crate,B,Keep Upright,0.19,17:00,20:00
L005,40.212768,-89.808809,FALSE,10,Fruit,4,8,06/07/2025,06/13/2025,Crate,A,None,0.84,08:00,12:00
L006,41.963207,-94.701737,FALSE,16,Meat,-2,0,06/07/2025,06/12/2025,Box,A,Fragile,0.92,17:00,20:00
L007,41.180489,-94.557322,FALSE,5,Fruit,4,8,06/06/2025,06/08/2025,Pallet,C,None,0.84,12:00,17:00
L008,46.815496,-86.489396,FALSE,14,Fruit,4,8,06/05/2025,06/12/2025,Pallet,B,Fragile,0.28,08:00,12:00
L009,41.632572,-92.285976,FALSE,16,Herbs,5,10,06/06/2025,06/09/2025,Box,C,None,0.8,17:00,20:00
L010,40.886187,-83.405549,FALSE,14,Leafy,1,7,06/08/2025,06/14/2025,Crate,B,Fragile,0.36,17:00,20:00
L011,47.648598,-92.286094,FALSE,1,Fruit,4,8,06/07/2025,06/10/2025,Crate,B,Fragile,0.37,08:00,12:00
L012,44.483742,-84.674155,FALSE,7,Herbs,5,10,06/06/2025,06/10/2025,Box,A,Fragile,0.03,08:00,12:00
L013,42.920389,-90.016821,TRUE,6,Leafy,1,7,06/05/2025,06/09/2025,Crate,B,None,0.27,12:00,17:00
L014,42.670538,-84.242863,FALSE,17,Leafy,1,7,06/06/2025,06/11/2025,Pallet,B,Keep Upright,0.75,12:00,17:00
L015,41.3028,-92.045934,FALSE,22,Fruit,4,8,06/08/2025,06/15/2025,Pallet,A,None,0.77,17:00,20:00
L016,41.497272,-84.555597,FALSE,18,Fruit,4,8,06/08/2025,06/15/2025,Crate,B,Fragile,0.45,12:00,17:00
L017,43.180176,-89.748912,TRUE,10,Leafy,1,7,06/06/2025,06/13/2025,Pallet,A,Keep Upright,0.49,08:00,12:00
L018,41.366149,-91.477638,FALSE,11,Leafy,1,7,06/08/2025,06/10/2025,Box,B,None,0.58,12:00,17:00
L019,46.893006,-93.173319,FALSE,3,Leafy,1,7,06/07/2025,06/11/2025,Pallet,C,Keep Upright,0.21,17:00,20:00
L020,48.697589,-84.738101,FALSE,20,Herbs,5,10,06/08/2025,06/11/2025,Pallet,C,Fragile,0.94,17:00,20:00
L021,41.461699,-85.100638,FALSE,7,Leafy,1,7,06/08/2025,06/11/2025,Pallet,B,Fragile,0.9,08:00,12:00
L022,45.032089,-88.388707,FALSE,20,Herbs,5,10,06/08/2025,06/13/2025,Pallet,B,Fragile,0.25,08:00,12:00
L023,48.378129,-89.756474,FALSE,8,Herbs,5,10,06/06/2025,06/10/2025,Crate,B,Keep Upright,0.91,12:00,17:00
L024,42.692626,-84.910595,FALSE,4,Fruit,4,8,06/08/2025,06/12/2025,Crate,B,Fragile,0.46,12:00,17:00
L025,40.604004,-85.277713,FALSE,13,Herbs,5,10,06/05/2025,06/07/2025,Crate,C,Keep Upright,0.41,12:00,17:00
L026,45.64489,-84.022588,FALSE,8,Herbs,5,10,06/05/2025,06/11/2025,Box,C,Keep Upright,0.29,08:00,12:00
L027,43.932377,-94.080735,FALSE,3,Leafy,1,7,06/08/2025,06/11/2025,Box,C,Keep Upright,0.43,08:00,12:00
L028,45.994693,-94.340525,FALSE,18,Leafy,1,7,06/08/2025,06/11/2025,Crate,C,None,0.86,08:00,12:00
L029,39.270958,-86.52849,FALSE,7,Herbs,5,10,06/07/2025,06/13/2025,Pallet,C,Keep Upright,0.5,08:00,12:00
L030,46.317136,-88.603565,FALSE,19,Meat,-2,0,06/06/2025,06/08/2025,Crate,A,Fragile,0.81,12:00,17:00
L031,48.627969,-92.353768,FALSE,6,Fruit,4,8,06/08/2025,06/15/2025,Box,B,Keep Upright,0.79,12:00,17:00
L032,41.578264,-86.376643,FALSE,8,Meat,-2,0,06/08/2025,06/13/2025,Pallet,B,Fragile,0.82,08:00,12:00
L033,43.916905,-82.187719,FALSE,2,Dairy,0,4,06/05/2025,06/11/2025,Crate,C,Fragile,0.31,12:00,17:00
